epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.95184,2.7996,4.65156,1.89999,0.00174,0.25,0.00174,0.00099,2.08169,4.45056,1.69291,2.858e-05,2.858e-05,2.858e-05
2,6.64698,2.50987,4.37513,1.74677,0.00286,0.36111,0.00347,0.00232,1.73009,4.1521,1.43226,7.00353e-05,7.00353e-05,7.00353e-05
3,8.45202,2.11629,4.09066,1.46855,0.00353,0.36111,0.00515,0.00235,1.60814,3.98691,1.31734,0.000109793,0.000109793,0.000109793
4,10.2815,1.68825,3.64359,1.2715,0.00106,0.11111,0.06907,0.03684,1.59081,3.90953,1.24429,0.000147853,0.000147853,0.000147853
5,12.1094,1.54796,3.13995,1.16596,0.00234,0.25,0.05712,0.01733,1.44073,3.74295,1.15384,0.000184215,0.000184215,0.000184215
6,13.8762,1.32141,2.64427,1.09494,0.00282,0.30556,0.03808,0.00802,1.15931,3.60969,1.12763,0.00021888,0.00021888,0.00021888
7,15.6741,1.39995,2.40663,1.07796,0.00363,0.41667,0.05393,0.02416,1.03225,3.4452,1.01937,0.000251847,0.000251847,0.000251847
8,17.4522,1.33098,2.14034,1.03935,0.00331,0.38889,0.03972,0.01175,0.98569,3.42989,1.00098,0.000283116,0.000283116,0.000283116
9,19.2452,1.34991,2.1319,1.08442,0.00398,0.44444,0.1567,0.06187,1.05134,3.40565,0.97491,0.000312688,0.000312688,0.000312688
10,21.0222,1.23623,2.09449,1.04409,0.00528,0.55556,0.21052,0.11051,0.98204,3.36134,0.95241,0.000340562,0.000340562,0.000340562
11,22.8335,1.16159,1.85878,1.04881,0.00513,0.52778,0.27804,0.11767,1.08677,3.42732,0.97924,0.000366739,0.000366739,0.000366739
12,24.5982,1.18986,1.81334,1.03103,0.0041,0.41667,0.24455,0.0812,1.13216,3.50079,1.02781,0.000391217,0.000391217,0.000391217
13,26.3711,1.2026,1.65209,1.024,0.00454,0.44444,0.20836,0.07273,1.19848,3.53309,1.04855,0.000413998,0.000413998,0.000413998
14,28.1159,1.20381,1.62589,1.01819,0.00448,0.44444,0.2192,0.08757,1.20895,3.51975,1.06827,0.000435082,0.000435082,0.000435082
15,29.9148,1.14019,1.52657,1.01526,0.00501,0.5,0.31921,0.21165,1.27995,3.45916,1.08104,0.000454468,0.000454468,0.000454468
